S/N,MTANDAO,GENDER,MARITAL_STATUS,DEPENDENTS,AGE,UNIVERSITY,DEGREE,EARNINGS,REGISTRATION,LOAN_BOARD,PAST_FREQUENCY,FUTURE_FREQUENCY,PROBLEM_SOLVING,EXCEPTIONAL_SERVICE_EXPERIENCE,VALUE_FOR_MONEY,PRICE_COMPARISON,WIDE_COVERAGE,CALL_DROPS,STRONG_SIGNALS,FREE_COMPLAINTS,SHARE_NEGATIVE_EXPERIENCE,HIGH_SWITCHING_COST,REDUCE_TRANSACTIONS,USUALLY_SWITCH_PROVIDERS,GET_THROUGH,DO_WHAT_THEY_SAY,TIMELY_EFFECTIVE_COMPLAINTS,HIGH_SWITCHING_ENERGY_TIME,FUTURE_TRANSACTIONS,LOYAL,FIRST_CHOICE
623,VODA,FEMALE,SINGLE,MORE THAN 4,18-35,SUA,BACHELOR,450000-1000000,2022,0.85,11,15,A,F,D,A,SA,A,D,F,A,F,D,D,D,A,F,A,A,SA,SA
624,VODA,MALE,MARRIED,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2015,0.6,11,13,A,SD,A,D,A,SD,A,A,F,A,D,D,A,A,A,A,F,A,SA
625,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2014,1,64,36,A,A,F,SA,SA,SD,D,SD,A,SA,D,D,F,SD,A,SA,F,A,SD
626,TIGO,MALE,MARRIED,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2017,0,12,10,A,SA,A,SD,SA,SD,D,F,SA,F,SD,A,SA,A,A,SA,F,SA,SA
627,VODA,MALE,SINGLE,MORE THAN 4,,SUA,BACHELOR,BELOW 450000,2018,0.8,18,5,A,SD,SD,A,SA,A,D,A,D,D,A,A,A,A,D,A,A,A,A
628,VODA,MALE,SINGLE,3 TO 4,18-35,SUA,BACHELOR,BELOW 450000,2014,0.8,23,24,A,A,SA,D,SA,SD,F,SD,A,A,D,A,A,F,A,A,A,SA,A
629,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2016,1,68,28,D,A,SD,D,A,SA,D,A,SA,A,A,SA,SA,SA,SA,SA,SD,A,SA
630,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,450000-1000000,2016,0.5,155,154,D,A,A,D,A,D,D,D,A,A,D,A,D,A,D,A,A,A,A
631,HALOTEL,FEMALE,SINGLE,0 TO 2,,SUA,BACHELOR,BELOW 450000,2019,0,17,15,F,A,A,A,A,A,SD,A,SD,SD,F,F,F,F,F,F,F,SA,A
632,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2018,0.5,18,16,SD,SD,SA,SD,SA,SA,SA,SA,SA,F,D,SD,A,A,F,SA,SA,A,SA
633,TIGO,FEMALE,SINGLE,3 TO 4,18-35,SUA,BACHELOR,BELOW 450000,2020,0.95,91,12,SD,F,SD,F,SA,SA,SA,SD,A,SA,A,A,SD,F,A,,SA,SA,SA
634,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,0.9,60,45,D,F,SD,F,SD,F,SD,SD,SA,SD,SA,A,SD,F,D,SA,SD,SD,D
635,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,0.7,11,11,SD,A,A,D,A,F,A,A,SA,A,D,A,A,A,F,D,D,A,D
636,TIGO,FEMALE,SINGLE,3 TO 4,18-35,SUA,BACHELOR,BELOW 450000,2023,1,28,10,SA,SD,F,A,A,F,F,F,A,F,F,SD,SA,F,A,D,SD,SA,F
637,TIGO,MALE,MARRIED,0 TO 2,18-35,SUA,DIPLOMA,BELOW 450000,2019,0,11,16,SD,SD,SD,D,D,A,SD,F,A,F,D,SA,D,SD,SD,SA,SA,A,F
638,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2018,0.5,20,22,A,D,SD,F,F,F,F,D,D,F,,A,A,A,F,A,A,A,F
639,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2018,1,6,6,F,D,A,D,A,D,D,F,F,D,D,D,A,A,A,A,D,F,A
640,AIRTEL,MALE,SINGLE,3 TO 4,18-35,SUA,DIPLOMA,BELOW 450000,2021,0,15,18,SA,D,SA,D,F,D,D,F,SA,D,A,D,D,SA,SA,SA,A,A,A
641,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2018,0.5,29,75,D,SA,SA,A,A,SD,SA,A,A,A,A,A,A,A,A,A,A,A,A
642,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,,2020,0,15,15,SD,SD,SA,SD,F,SD,A,D,D,F,SD,SD,SD,A,F,SA,SA,A,A
643,TIGO,FEMALE,MARRIED,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,0.3,56,30,F,A,SD,SA,A,A,D,D,F,F,A,A,F,A,D,D,SD,F,SD
644,TIGO,MALE,MARRIED,MORE THAN 4,18-35,SUA,BACHELOR,BELOW 450000,2008,0,21,26,F,A,A,A,A,SD,F,SD,SD,F,F,F,F,F,F,SA,SA,SA,F
645,HALOTEL,FEMALE,MARRIED,3 TO 4,18-35,SUA,BACHELOR,BELOW 450000,2022,0.9,9,11,A,A,A,D,A,D,D,A,A,D,D,A,A,F,A,A,F,SA,SA
646,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,1,22,11,D,A,A,A,A,SA,D,A,F,D,F,A,SD,SD,SD,SA,D,SA,SA
647,AIRTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,0.6,10,8,SD,SD,A,,F,D,SD,D,SA,F,A,SD,SA,A,A,SA,F,SA,SA
648,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2018,0.8,3,3,SD,D,A,A,A,A,A,A,F,A,A,A,D,A,F,F,A,A,A
649,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2018,1,15,15,SD,F,SA,,F,,F,SA,SA,F,A,F,A,SA,SA,SA,A,SA,SA
650,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2018,1,14,10,D,D,F,D,A,D,F,A,SA,A,D,D,F,SA,A,SA,A,SA,A
651,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,0.2,9,15,A,D,D,SA,SA,SD,SA,D,F,A,F,SA,F,D,D,SD,A,SA,D
652,TIGO,MALE,MARRIED,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,1,8,8,SA,SD,SA,A,A,F,F,SA,SA,A,F,SA,SA,SA,SA,SA,SA,SA,SA
653,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2021,1,12,5,SD,SD,SD,D,A,F,SA,SA,SA,A,F,SA,SA,SA,SA,SA,A,SA,SA
654,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,0.75,13,14,SD,D,F,A,F,F,A,SA,F,D,SD,SD,F,A,A,A,A,A,A
655,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,1,25,30,F,D,A,D,A,A,D,A,D,A,D,A,A,D,A,D,A,A,A
656,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2021,0.5,12,12,D,A,D,A,D,D,F,A,F,D,D,A,SA,SA,A,SA,A,SA,SA
657,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2021,0.2,15,21,SD,SD,D,D,F,SD,F,F,F,A,F,A,D,SA,SA,SA,F,SA,SA
658,AIRTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2021,0.3,5,6,SD,SD,D,A,A,A,D,F,A,F,D,D,A,A,A,A,A,F,F
659,HALOTEL,FEMALE,SINGLE,MORE THAN 4,18-35,SUA,BACHELOR,BELOW 450000,2018,1,12,3,D,A,SD,F,SD,A,F,SD,A,SD,A,SD,A,D,A,D,A,D,A
660,TIGO,FEMALE,SINGLE,MORE THAN 4,18-35,SUA,BACHELOR,BELOW 450000,2021,0.2,133,98,F,A,D,A,A,D,D,A,A,D,A,SA,A,F,SD,F,A,A,A
661,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2021,1,10,14,A,A,SD,F,A,D,D,F,A,D,F,A,A,F,D,SA,F,F,F
662,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2016,1,78,51,D,SD,D,D,SD,SD,SD,D,A,F,A,SA,A,F,D,SA,F,A,SD
663,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,1,110,23,D,D,A,SA,F,SD,SD,SD,A,D,SA,SA,F,F,F,SA,F,F,D
664,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,1,20,18,D,D,F,F,A,D,A,F,A,F,D,F,D,F,A,A,F,F,F
665,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,0.5,17,14,D,F,F,A,D,D,D,D,F,A,D,D,F,A,A,D,D,D,A
666,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2017,0.9,15,15,SA,F,SD,F,A,F,A,SA,A,F,SD,A,SA,SA,F,F,SA,SA,SA
667,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2018,1,16,15,D,F,SD,SA,SA,F,D,A,A,F,D,A,A,F,SA,SA,A,SA,F
668,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,,1,21,10,SA,D,SD,F,SD,D,SD,SD,SA,F,A,SA,F,D,SD,SA,F,F,A
669,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2021,1,9,10,D,SD,SD,A,D,D,SD,D,A,A,SA,A,SA,F,SA,SA,F,SA,SA
670,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2021,,16,15,D,A,F,D,,SA,F,A,F,F,D,F,A,A,A,A,A,SA,A
671,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,1,60,36,A,A,SD,A,A,D,SD,SD,F,F,SD,D,D,F,F,SA,D,A,D
672,TIGO,MALE,SINGLE,MORE THAN 4,18-35,SUA,BACHELOR,BELOW 450000,2021,0.7,13,22,A,A,F,F,A,A,A,SA,A,A,F,SA,D,SA,D,D,F,SA,SA
673,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,1,38,34,SD,F,F,D,A,F,SA,A,A,F,D,F,A,A,F,SA,F,F,F
674,TIGO,FEMALE,MARRIED,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2017,1,39,59,SD,SD,F,SD,SA,SD,F,SA,D,F,D,A,SA,D,A,A,SA,F,SA
675,TIGO,FEMALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2020,1,20,11,SA,D,SD,SA,SD,F,,F,SA,A,SA,SA,A,F,A,F,D,SA,A
676,VODA,FEMALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2021,0.1,11,15,SA,D,F,A,D,D,A,A,A,F,A,F,A,D,F,SD,F,F,SD
677,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2020,1,14,13,D,SD,F,F,F,F,F,F,SA,F,A,A,D,F,F,F,A,A,F
678,HALOTEL,MALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2017,1,6,9,SA,SA,F,D,A,D,F,F,A,F,D,D,D,F,A,D,F,F,A
679,AIRTEL,FEMALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2020,1,12,12,SD,D,SD,SA,F,F,F,D,F,SD,F,SA,SD,F,SD,F,SA,SA,F
680,AIRTEL,FEMALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2022,1,10,7,SA,SD,F,SA,A,A,SD,F,SA,F,A,D,F,SA,D,SD,F,SA,F
681,TIGO,FEMALE,SINGLE,3 TO 4,18-35,MUM,BACHELOR,BELOW 450000,2020,1,13,14,SD,D,SA,A,A,A,A,A,D,D,D,SA,SA,F,F,F,A,A,A
682,TIGO,FEMALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2022,1,15,12,F,F,SD,D,SA,D,SD,A,D,A,D,D,D,SA,D,SD,A,SD,SD
683,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2020,0,13,14,SD,D,A,D,A,D,D,F,F,D,D,A,A,A,F,A,A,SA,SA
684,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2019,0.3,10,10,SD,D,SD,F,A,SD,SD,F,A,F,A,SD,F,A,D,A,A,F,A
685,TIGO,FEMALE,MARRIED,MORE THAN 4,18-35,MUM,BACHELOR,BELOW 450000,2018,0,18,15,SD,SD,SA,SD,SA,SD,SA,F,F,A,A,A,F,SD,SD,D,SA,,SA
686,TIGO,FEMALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2020,0,7,4,D,SD,SD,D,F,A,D,SD,A,F,D,D,F,SA,F,SA,F,A,A
687,AIRTEL,FEMALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2022,0.8,14,14,F,D,A,F,A,SD,F,A,SD,D,F,F,A,A,D,D,SA,F,A
688,VODA,FEMALE,MARRIED,3 TO 4,18-35,MUM,BACHELOR,450000-1000000,2015,0,12,10,A,A,SA,D,A,SD,SA,D,A,,F,F,F,SA,SA,SA,,A,SA
689,TIGO,FEMALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2015,1,15,19,A,D,D,D,D,D,A,D,A,D,A,D,F,F,A,SD,A,A,A
690,TIGO,FEMALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2012,1,18,21,A,F,D,A,A,D,D,A,A,SA,SA,A,A,SA,SA,SA,SA,A,SA
691,TIGO,FEMALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2020,0.27,10,8,F,D,SD,SD,A,A,A,SA,F,F,F,D,D,A,A,A,F,F,A
692,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,,2020,1,6,6,SD,D,SD,F,SD,D,D,D,SA,A,SD,A,D,A,SD,F,SD,D,F
693,TIGO,FEMALE,SINGLE,3 TO 4,18-35,MUM,BACHELOR,BELOW 450000,2019,0.8,60,60,SD,A,SD,SD,A,SD,SD,SD,SA,SD,SD,SD,,SD,SD,SA,SA,SA,SA
694,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2021,0.65,30,25,SD,SD,A,D,SA,SD,SD,F,,SD,F,,SD,SA,SA,SA,A,A,SA
695,TIGO,MALE,SINGLE,3 TO 4,18-35,MUM,BACHELOR,BELOW 450000,2020,1,10,9,F,SD,F,F,A,SD,SD,F,A,F,A,SA,F,A,A,A,F,F,F
696,HALOTEL,MALE,SINGLE,3 TO 4,18-35,MUM,BACHELOR,BELOW 450000,2020,0.95,19,14,F,SD,D,D,A,A,F,A,SA,A,A,SA,A,F,A,F,SA,SA,A
697,AIRTEL,FEMALE,MARRIED,0 TO 2,36-50,MUM,BACHELOR,450000-1000000,2006,0,18,16,SD,F,D,A,SA,D,A,D,A,A,SA,A,A,A,A,SA,A,D,
698,VODA,FEMALE,MARRIED,0 TO 2,18-35,MUM,BACHELOR,450000-1000000,2019,1,15,15,SD,SD,D,SA,A,D,F,A,SA,A,D,D,A,D,F,F,SA,SA,SA
699,TIGO,MALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2023,1,24,16,F,F,SD,SD,F,SD,F,SD,SD,F,F,F,SD,SA,F,SD,SA,SA,SA
700,AIRTEL,MALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2017,1,12,10,SD,D,D,A,A,D,F,F,F,D,F,D,F,F,A,F,A,F,A
701,HALOTEL,MALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2018,0.5,6,6,F,A,SA,D,SA,SD,SD,D,A,F,F,SD,A,F,F,SA,SA,SA,SA
702,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,CERTIFICATE,BELOW 450000,2021,0,7,11,SD,D,SD,F,SA,F,F,D,SA,F,SA,A,D,SD,SD,F,A,A,A
703,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,CERTIFICATE,BELOW 450000,2020,0,22,27,SA,SD,A,SA,SA,F,A,SA,A,A,A,SA,F,A,A,A,D,SA,A
704,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,CERTIFICATE,BELOW 450000,2020,0,11,12,SD,D,D,SA,SA,A,A,A,A,SA,SD,A,D,SA,A,SA,A,A,A
705,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,CERTIFICATE,BELOW 450000,2017,0,34,24,D,D,A,D,SA,D,SA,A,D,A,A,A,A,A,A,A,A,A,A
706,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,CERTIFICATE,BELOW 450000,2020,0,12,23,D,D,D,F,D,SD,F,F,A,F,F,A,A,SA,A,F,A,SA,A
707,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,CERTIFICATE,BELOW 450000,2023,0,20,31,D,D,SD,SD,F,SD,F,F,SD,D,F,D,D,SD,A,F,A,SA,A
708,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,CERTIFICATE,BELOW 450000,2020,0,5,6,SA,D,SA,D,A,A,A,SA,D,SA,D,A,SA,F,A,SA,A,A,SA
709,AIRTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,CERTIFICATE,,2022,0,21,12,D,SD,A,SD,A,SD,SA,A,SD,SA,D,F,SA,SA,A,A,SA,A,A
710,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,CERTIFICATE,BELOW 450000,2020,0,22,15,D,A,A,D,A,D,D,A,SA,SA,F,SA,F,F,A,SD,SA,F,SA
711,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,CERTIFICATE,BELOW 450000,2021,0,14,15,SD,D,D,SD,D,SD,D,D,SD,SA,SD,D,SA,F,SD,F,D,SD,SD
712,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,CERTIFICATE,BELOW 450000,2022,0,12,15,SD,SD,F,SA,SD,A,D,D,A,A,A,SA,SA,SA,F,F,SD,SA,SD
713,HALOTEL,MALE,MARRIED,0 TO 2,18-35,SUA,CERTIFICATE,BELOW 450000,2019,0,11,10,F,A,D,A,SA,F,D,D,A,F,D,D,A,A,F,A,F,A,F
714,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,CERTIFICATE,450000-1000000,2020,0,6,17,SA,D,SA,D,A,A,A,SA,F,A,D,A,A,A,A,SA,A,A,A
715,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,CERTIFICATE,BELOW 450000,2020,0,14,25,SA,SD,SA,D,A,SD,A,SA,D,SA,D,A,A,A,A,SA,A,A,SA
716,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,CERTIFICATE,BELOW 450000,2020,0,6,6,D,SD,SA,SA,A,F,A,A,F,D,F,A,D,SA,SD,F,SA,F,A
717,AIRTEL,MALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2020,1,13,8,SA,SA,F,SA,A,SD,SD,SD,SD,D,SA,SA,A,A,SD,SD,SD,SD,F
718,AIRTEL,MALE,SINGLE,MORE THAN 4,18-35,MUM,BACHELOR,BELOW 450000,2013,1,15,11,SD,SA,SD,SD,A,A,D,SA,SD,A,D,A,A,SA,A,A,A,SA,D
719,HALOTEL,MALE,MARRIED,3 TO 4,18-35,MUM,BACHELOR,BELOW 450000,2023,1,18,22,D,A,SA,A,SA,SD,SA,SA,SD,SA,A,A,SA,A,A,A,A,SA,SA
720,HALOTEL,MALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2018,1,22,0,D,D,A,D,A,SD,F,A,F,D,F,SD,D,A,SD,A,D,SD,D
721,AIRTEL,MALE,MARRIED,3 TO 4,36-50,MUM,BACHELOR,BELOW 450000,2020,0,18,18,F,A,A,A,D,D,A,A,SA,F,A,A,A,SA,A,F,A,D,D
722,AIRTEL,MALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2022,1,12,10,D,D,D,A,A,A,D,F,A,A,A,F,SD,SD,F,A,D,D,A
723,TIGO,MALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2021,1,12,12,D,A,A,A,A,SD,A,A,A,SA,A,A,A,SA,SA,A,A,A,A
724,AIRTEL,MALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2017,0.98,22,15,D,A,A,D,SA,D,SA,SA,A,D,F,A,F,D,SA,SA,A,D,A
725,HALOTEL,MALE,MARRIED,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2020,1,11,8,D,A,D,A,A,D,F,A,D,A,,D,D,A,D,A,F,F,D
726,HALOTEL,MALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2016,1,10,10,A,D,D,A,A,F,F,A,,F,D,A,D,A,F,SA,A,A,SA
727,TIGO,MALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2017,1,6,6,A,SD,A,F,A,SD,SA,SA,SA,F,D,A,A,A,A,F,A,A,A
728,AIRTEL,MALE,SINGLE,3 TO 4,18-35,MUM,BACHELOR,BELOW 450000,2019,1,12,13,SA,D,A,SD,A,SD,SA,F,A,SD,F,,F,SA,D,F,SA,F,SD
729,HALOTEL,MALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2018,1,13,14,A,D,SD,F,SD,SD,F,SA,D,SA,A,F,SD,F,SA,D,SA,D,SA
730,VODA,MALE,MARRIED,0 TO 2,18-35,MUM,BACHELOR,450000-1000000,2016,1,6,6,D,SD,SA,D,A,A,F,F,A,F,F,F,A,A,SA,SA,SA,SA,F
731,AIRTEL,MALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2017,0.98,16,10,SD,SD,A,F,SA,D,D,A,F,F,A,F,A,A,A,A,F,F,A
732,TIGO,MALE,MARRIED,MORE THAN 4,18-35,MUM,BACHELOR,BELOW 450000,2005,1,18,,F,SD,F,D,D,SD,A,SD,D,SD,SD,D,SD,F,SD,D,D,SD,D
733,HALOTEL,MALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,450000-1000000,2020,1,66,39,SA,SA,SD,SA,F,SD,SD,SD,F,F,F,A,A,A,SD,D,D,F,F
734,TIGO,MALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,450000-1000000,2020,0.3,34,24,D,A,A,SD,F,SD,SA,SA,D,D,A,SD,F,SD,F,SA,A,SA,A
735,TIGO,MALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,450000-1000000,2016,1,17,15,SD,SA,SA,A,SA,D,D,SD,F,A,F,A,F,A,F,D,F,A,D
736,TIGO,FEMALE,SINGLE,3 TO 4,18-35,MUM,BACHELOR,450000-1000000,2012,0,18,11,F,SD,SD,SD,SD,F,F,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,F,F
737,TIGO,FEMALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2020,0.8,24,20,SD,D,F,SD,SD,D,SA,SA,A,A,SD,SD,SA,A,F,F,SD,F,SD
738,VODA,FEMALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2017,0.34,22,18,D,F,SA,SA,F,F,F,D,D,A,SA,F,SA,SD,SD,A,A,SA,SA
739,HALOTEL,FEMALE,MARRIED,MORE THAN 4,18-35,MUM,BACHELOR,BELOW 450000,2015,1,6,0,SA,SA,SD,D,SD,SD,SA,SA,SA,SA,A,SD,SA,SA,SA,SD,SD,SD,SD
740,TIGO,MALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2018,0.98,9,10,F,SD,SD,SD,F,D,F,SD,F,SD,F,F,F,SD,F,A,SD,A,F
741,HALOTEL,MALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2021,1,11,8,A,A,SA,SD,A,D,D,A,A,A,D,D,SD,SD,A,A,A,A,A
742,TIGO,MALE,SINGLE,MORE THAN 4,18-35,MUM,BACHELOR,450000-1000000,2010,1,12,,SA,SA,SD,SD,A,SD,SD,SD,SD,SD,SD,SA,SD,SD,SD,SD,SD,SD,SD
743,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2022,1,18,19,D,D,D,D,A,D,D,A,SD,D,SD,SD,SD,SD,,SD,F,SD,SD
744,VODA,FEMALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2018,0,14,12,D,SA,SD,SA,A,F,SA,SA,A,A,D,A,D,A,A,F,D,SA,A
745,AIRTEL,FEMALE,MARRIED,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2020,1,6,15,SA,SA,F,A,,SD,D,F,D,D,,D,SD,D,D,D,A,D,A
746,TIGO,MALE,SINGLE,MORE THAN 4,18-35,MUM,BACHELOR,BELOW 450000,2023,1,14,18,SA,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD
747,AIRTEL,FEMALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2020,1,34,32,SD,D,F,F,D,F,A,D,SD,A,F,SD,D,F,F,SA,A,SA,SA
748,TIGO,FEMALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2020,0,32,30,SD,F,D,D,A,SA,F,F,F,F,F,F,F,F,F,D,SD,F,F
749,AIRTEL,FEMALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2019,1,12,12,SD,SD,D,D,SD,D,SD,A,A,A,A,SD,D,A,SD,A,SD,D,SD
750,TIGO,MALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2020,0.5,10,45,SD,SD,SD,SD,A,SD,SD,SD,SD,SD,D,A,D,SA,SA,SA,SA,A,D
751,HALOTEL,MALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2020,1,16,22,SA,SD,SD,F,SD,F,F,SA,SA,D,,A,D,F,SA,SD,D,F,SD
752,TIGO,MALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2021,1,75,84,F,SD,A,D,A,SD,A,A,F,D,A,SD,SA,F,A,SA,SA,SA,SA
753,AIRTEL,MALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2019,1,17,7,A,SD,SA,A,SA,A,SD,A,SA,A,A,SA,SA,F,D,A,SA,A,SA
754,AIRTEL,FEMALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2021,0,45,15,SD,SD,F,F,A,SD,SD,D,A,D,F,A,F,F,A,A,SA,SA,SA
